verdict,claim,date,source,reviewer,language,raw_verdict,raw_verdict_en
misinformation,Klagenfurts Bürgermeisterin Maria-Luise Mathiaschitz hat sich ausserhalb des Nasenflügels auf das Coronavirus testen lassen.,2020-12-17T00:00:00Z,Viraler Facebook-Beitrag,watson.ch,de,"Die Behauptung ist eine Falschmeldung. Der Ausschnitt in einer höheren Auflösung zeigt eindeutig, dass das Stäbchen in die Nase eingeführt wurde.",The claim is a hoax. The section in a higher resolution clearly shows that the stick was inserted into the nose.
misinformation,سوق واد مليز، أول مدينة تونسية تحترم البروتوكول الصحي.,2021-05-04T05:51:00Z,عائشة غربي,misbar.com,ar,مضلل,misleading
misinformation,Date på Tinder skal gi opphold i Sverige for å beskytte homofiles rettigheter,2021-01-17T00:00:00Z,Human Rights Service,faktisk.no,no,Helt feil,Completely wrong
misinformation,Baharı Yaz Uğruna Tükettik Aşkı Naz Uğruna Ve Papatyaları Seviyor Sevmiyor Uğruna Derken Ömrü Tükettik Bir Hiç Uğruna” Şiirinin Sezai Karakoç’a Ait Olduğu İddiası,2020-06-01T00:00:00Z,Öznur Çalık,malumatfurus.org,tr,YANLIS,False
factual,Construction toy maker Lego is offering a rainbow Pride-themed set.,,,snopes.com,en,True,True
other,"Esiste un documento della Pfizer che dimostra non solo l'esistenza dello ""spargimento virale"", ma che il vaccino Pfizer è pericoloso per le donne incinte, e si contagia da donna in donna, passando attraverso gli uomini, creando gravi conseguenze per il feto",2021-05-02T00:00:00Z,,bufale.net,it,"In realtà la teoria dello ""spargimento virale"" è priva di fondamento, come anche le teorie su danni al feto ed alla fertilità provocati dalla profilassi vaccinale. Nelle prime fasi della sperimentazione, semplicemente, si preferiva evitare le donne incinta.","In reality, the theory of ""viral shedding"" is groundless, as are the theories on damage to the fetus and fertility caused by vaccination prophylaxis. In the early stages of experimentation, it was simply preferred to avoid pregnant women."
misinformation,Videonun nefesinizi tutarak akciğer kapasitenizi test edebileceğinizi gösterdiği iddiası,2021-05-14T00:00:00Z,Sosyal Medya,teyit.org,tr,Yanlış,False
misinformation,「東京五輪の聖火リレー、一般人の撮影動画はSNSアップ禁止」,,,buzzfeed.com,ja,ミスリード,Mislead
misinformation,Video shows bombing of a mosque by Israel,2021-05-19T15:05:10Z,Facebook Posts & Twitter Users,boomlive.in,en,False,False
misinformation,"Man who said we don't want hospital, we want mandir died of COVID",2016-06-20T00:00:00Z,Social Media,altnews.in,hi,False,False
misinformation,Ireland's golf courses reopened on 2 May,2020-05-01T00:00:00Z,Viral Image,thejournal.ie,en,False,False
misinformation,Greta Thunberg beder kineserne om at droppe spisepindene for at redde verdens skove,2021-04-01T00:00:00Z,Flere opslag på sociale medier,tjekdet.dk,da,Falsk,False
misinformation,"מנדלבליט צייץ כי ""שמתי לב שעניין הקלטות מטריד את ההמונים אז החלטתי לתת הבהרה בנושא: אשכנזי ביקש שאחכה עם הפרסום עד אחרי הבחירות מכיוון שפרסום כעת יכול להבריח לו בוחרים""",2019-12-25T00:00:00Z,פוסט/ים בפייסבוק,thewhistle.globes.co.il,iw,לא נכון,Not true
factual,Na mesma altura em que a operação de realojamento de trabalhadores mi......,2021-05-19T07:45:03Z,,poligrafo.sapo.pt,pt,"Verdadeiro, mas...","True, but ..."
misinformation,Ventilators and intensive care units were never used in Russia.,2021-04-29T00:00:00Z,Public,fullfact.org,en,"This is untrue. For example, one study in Russia looked at more than 1,500 Covid-19 patients in ICU, many of whom were given respiratory support via ventilation.","This is untrue. For example, one study in Russia looked at more than 1,500 Covid-19 patients in ICU, many of whom were given respiratory support via ventilation."
misinformation,The image is from Uttar Pradesh amid the ongoing second wave of coronavirus pandemic.,2021-05-21T08:43:46Z,Social Media,thelogicalindian.com,en,False,False
misinformation,The viral image is of a body floating in the river Ganga amid the second wave of the coronavirus pandemic.,2021-05-21T10:48:39Z,Social Media,thelogicalindian.com,en,False,False
misinformation,The video of troops stopping ambulance is of recent Israel-Palestine conflict.,2021-05-20T12:09:30Z,Social media,thelogicalindian.com,en,False,False
misinformation,Israels PM Benjamin Netanyahu has tweeted that Indias enemies are within the nation.,2021-05-20T12:02:38Z,Social Media,thelogicalindian.com,en,False,False
misinformation,The video is of oxygen being wasted in Rajasthan.,2021-05-19T12:11:53Z,Social Media,thelogicalindian.com,en,False,False
misinformation,The viral image of dead children is from ongoing Israel-Palestine conflict.,2021-05-19T13:44:26Z,Social Media,thelogicalindian.com,en,False,False
misinformation,The viral video is of an Israeli policeman strangling a Palestinian child.,2021-05-18T13:21:39Z,social media,thelogicalindian.com,en,False,False
misinformation,The viral video is of Indians throwing away idols amid the coronavirus crisis.,2021-05-18T12:57:29Z,Social Media,thelogicalindian.com,en,False,False
misinformation,"The man who claimed he wants Ayodhya Ram temple over road and food, is dead.",2021-05-19T12:04:36Z,Social Media,thelogicalindian.com,en,False,False
misinformation,The viral image is of a fighter jet of Israel paying tribute to an Indian nurse that died in the Israel-Palestine conflict.,2021-05-17T12:34:50Z,Social Media,thelogicalindian.com,en,False,False
misinformation,Vídeo mostra palestinos forjando explosão de carro-bomba e atribuindo a Israel,2021-05-20T00:00:00Z,desinformação,aosfatos.org,pt,falso,fake
misinformation,"o Presidente nunca me orientou, me encaminhou ou me deu ordem.",2021-05-19T00:00:00Z,Eduardo Pazuello,aosfatos.org,pt,falso,fake
misinformation,Foto mostra tratoraço em apoio ao governo Bolsonaro,2021-05-18T00:00:00Z,desinformação,aosfatos.org,pt,falso,fake
misinformation,Jamais provoquei nenhum atrito com a China.,2021-05-18T00:00:00Z,Ernesto Araújo,aosfatos.org,pt,falso,fake
misinformation,Vídeos mostram saques de galinhas e porcos na Argentina,2021-05-17T00:00:00Z,desinformação,aosfatos.org,pt,falso,fake
misinformation,Homem apareceu armado em reportagem da TV Globo sobre violência policial,2021-05-14T00:00:00Z,desinformação,aosfatos.org,pt,falso,fake
misinformation,Foto mostra manifestação pró-Bolsonaro,2021-05-14T00:00:00Z,desinformação,aosfatos.org,pt,falso,fake
misinformation,Ex-reitor da UFRJ desviou R$ 43 milhões e está foragido,2021-05-14T00:00:00Z,desinformação,aosfatos.org,pt,falso,fake
misinformation,Foto mostra nuvem de fumaça após ataque em Israel,2021-05-13T00:00:00Z,desinformação,aosfatos.org,pt,falso,fake
misinformation,"Moraes disse que não terá voto impresso e, talvez, nem Bolsonaro em 2022",2021-05-13T00:00:00Z,desinformação,aosfatos.org,pt,falso,fake
misinformation,「新型コロナワクチンが不妊症や流産の原因になる」,,,buzzfeed.com,ja,誤り,error
misinformation,「新型コロナワクチンの添加物で肝臓が空洞化」,,,buzzfeed.com,ja,誤り,error
misinformation,「新型コロナワクチン接種で吐く息の中に6倍の量のウイルス断片が凝縮される」,,,buzzfeed.com,ja,誤り,error
misinformation,「菅首相がうったワクチンは偽物」,,,buzzfeed.com,ja,誤り,error
misinformation,「新型コロナワクチンの中身は水銀」,,,buzzfeed.com,ja,誤り,error
misinformation,「聖火リレー採火式は男子禁制、巫女は処女」,,,buzzfeed.com,ja,不正確,Inaccurate
misinformation,「カナダが今年の東京五輪への不参加を表明した」,,,buzzfeed.com,ja,ミスリード,Mislead
misinformation,「米国CDCが新型コロナウィルスは存在しないと認めた」,,,buzzfeed.com,ja,虚偽,Falsehood
misinformation,「アナフィラキシー治療薬エピネフリンの在庫がなく、代わりにアドレナリンが用意」,,,buzzfeed.com,ja,誤り,error
misinformation,"“My dad used to say, ‘Joey…’ — and I swear to God, when he left Scranton, when the coal died — my dad was not a — he was — he was a salesperson; he wasn’t a coal miner. My great-grandpop was.”",2021-05-18T00:00:00Z,Joe Biden,washingtonpost.com,en,Incorrect,Incorrect
misinformation,"""For years, Dr. Ralph Baric, a virologist in the U.S., has been collaborating with Dr. Shi Zhengli of the Wuhan Virology Institute, sharing his discoveries about how to create super viruses. This gain-of-function research has been funded by the NIH.""",2021-05-11T00:00:00Z,Rand Paul,washingtonpost.com,en,Two Pinocchios,Two Pinocchios
misinformation,"""According to the VAERS system, we are over 3,000 deaths of, after, within 30 days of taking the [coronavirus] vaccine.""",2021-05-06T00:00:00Z,Ron Johnson,washingtonpost.com,en,Three Pinocchios,Three Pinocchios
misinformation,“Here’s what the American Families Plan doesn’t do: It doesn’t add a single penny to our deficit.”,2021-05-03T00:00:00Z,Joe Biden,washingtonpost.com,en,Needs context,Needs context
misinformation,"""More than 140,000 votes came from underage, deceased, and otherwise unauthorized voters -- in Fulton County alone.""",2021-01-06T00:00:00Z,Elise Stefanik,washingtonpost.com,en,Four Pinocchios,Four Pinocchios
misinformation,"""I’ve rented a room from Frank [Luntz] for a couple of months, but don’t worry, I’m back to — going back to where I normally am, on my couch in my office. But, yes, we pay fair market rate.”",2021-05-04T00:00:00Z,Kevin McCarthy,washingtonpost.com,en,Lacks context,Lacks context
misinformation,"“When I was sworn in, less than 1 percent of seniors were fully vaccinated against covid-19. One hundred days later, nearly 70 percent of seniors are fully protected.”",2021-04-28T00:00:00Z,Joe Biden,washingtonpost.com,en,Lacks context,Lacks context
misinformation,"“In fact, the pay gap between CEOs and their workers is now among the largest in history. According to one study, CEOs make 320 times what their average workers make.”",2021-04-28T00:00:00Z,Joe Biden,washingtonpost.com,en,Needs context,Needs context
misinformation,"“I spent a lot of time with President Xi, traveling over 17,000 miles.”",2021-04-28T00:00:00Z,Joe Biden,washingtonpost.com,en,Three Pinocchios,Three Pinocchios
misinformation,"“Over 11 million undocumented folks, the vast majority of here overstaying visas.”",2021-04-28T00:00:00Z,Joe Biden,washingtonpost.com,en,Mostly False,Mostly False
misinformation,Are 30 states trying to overturn Roe v. Wade?,2019-06-28T00:00:00Z,Kirsten Gillibrand,cbsnews.com,en,Half true,Half true
factual,"The vast majority of illegal drugs entered the country through legal entry points, known officially as ports of entry.",2018-11-01T00:00:00Z,The U.S. Department of Justice Drug Enforcement Administration,cbsnews.com,en,True.,True.
other,Mr. Trump promised to label China a currency manipulator on day one,2016-10-18T00:00:00Z,CBS News,cbsnews.com,en,"'They're not currency manipulators,' Trump said in an interview with the Wall Street Journal after meeting with Chinese President Xi Jinping, adding that he thinks the American dollar is too strong.","'They're not currency manipulators,' Trump said in an interview with the Wall Street Journal after meeting with Chinese President Xi Jinping, adding that he thinks the American dollar is too strong."
misinformation,"Trump says visa lottery rewards the ""worst"" immigrants",2018-01-10T00:00:00Z,Donald Trump,cbsnews.com,en,Completely false.,Completely false.
misinformation,"Tax reform will protect low-income and middle-income households, not wealthy and connected",2017-09-27T00:00:00Z,Donald Trump,cbsnews.com,en,Misleading,Misleading
factual,We have a new vision for America and at a time when we have three people in this country owning more wealth than the bottom half of America.,2019-06-27T00:00:00Z,Bernie Sanders,cbsnews.com,en,"True: Sander's claim appears to be referencing a 2017 study from the left-leaning Institute for Policies, which found that the three richest Americans - Bill Gates, Warren Buffett and Jeff Bezos - together own more wealth ($248.5 billion) than the bottom 50 percent of the U.S. population.","True: Sander's claim appears to be referencing a 2017 study from the left-leaning Institute for Policies, which found that the three richest Americans - Bill Gates, Warren Buffett and Jeff Bezos - together own more wealth ($248.5 billion) than the bottom 50 percent of the U.S. population."
other,I didn’t put Supreme Court judge on the 100 (day) plan,2016-10-26T00:00:00Z,Donald J. Trump,cbsnews.com,en,He actually did promise in his plan to 'begin the process of selecting a replacement for Justice Scalia.',He actually did promise in his plan to 'begin the process of selecting a replacement for Justice Scalia.'
other,"For decades, the United States ... has operated a very low-skilled immigration system, issuing record numbers of green cards to low-wage immigrants.",2017-08-02T00:00:00Z,Donald Trump,cbsnews.com,en,He misrepresented who many immigrants are,He misrepresented who many immigrants are
misinformation,Trump'ın Biden'a bıraktığı mektuba 'Joe biliyorsun ben kazandım' yazdığı iddiası,,Sosyal Medya,teyit.org,tr,Yanlış,False
factual,Hadi Özışık’ın Sedat Peker’le görüntülü konuşma yaptığı sırada Ataşehir’deki Social Lounge kafede olduğu iddiası,2021-05-19T00:00:00Z,Sosyal Medya,teyit.org,tr,Doğru,Right
misinformation,Fotoğrafın Japonya’daki bir otoparkı gösterdiği iddiası,2021-05-17T00:00:00Z,Sosyal Medya,teyit.org,tr,Yanlış,False
misinformation,Görüntünün ölümden iki saniye önceki beyin aktivitesini gösterdiği iddiası,2021-05-18T00:00:00Z,Sosyal Medya,teyit.org,tr,Yanlış,False
misinformation,Fotoğraftakinin Bakan Fahrettin Koca’nın heykeli olduğu iddiası,2021-05-16T00:00:00Z,Sosyal Medya,teyit.org,tr,Yanlış,False
misinformation,Fotoğrafın Filistin'deki son çatışmalarda hayatını kaybeden bir çocuğun ayakkabılarını gösterdiği iddiası,2021-05-13T00:00:00Z,Sosyal Medya,teyit.org,tr,Yanlış,False
misinformation,People vaccinated for COVID-19 won’t be allowed on flights because the vaccine makes them infectious.,2021-05-12T00:00:00Z,A Facebook user,aap.com.au,en,False - Content that has no basis in fact.,False - Content that has no basis in fact.
misinformation,People can refuse to sign in at venues that require QR codes and businesses that deny entry are breaching privacy laws.,2021-04-23T00:00:00Z,A Facebook user,aap.com.au,en,False - Content that has no basis in fact.,False - Content that has no basis in fact.
misinformation,A photo of a baby with red marks across its face has been linked to the conflict in Gaza.,2021-05-18T00:00:00Z,A Facebook user,aap.com.au,en,False - Content that has no basis in fact.,False - Content that has no basis in fact.
misinformation,A video showing an electric field near a charging mobile phone demonstrates why people shouldn't use the devices while plugged in.,2021-04-19T00:00:00Z,Viral videos,aap.com.au,en,Missing Context - Content that may mislead without additional context.,Missing Context - Content that may mislead without additional context.
misinformation,People who are unvaccinated against COVID-19 are becoming ill by coming into contact with those who have received vaccines.,2021-04-30T00:00:00Z,Social media posts,aap.com.au,en,False,False
misinformation,"Michael Yeadon claims that asymptomatic cases and transmission of respiratory viruses were ""invented in 2020"".",2021-04-30T00:00:00Z,A Facebook user,aap.com.au,en,False - Content that has no basis in fact.,False - Content that has no basis in fact.
misinformation,"Perdana Menteri Israel Netanyahu ancam akan ""membunuh muslim"" dengan vaksin",2021-05-13T00:00:00Z,Berbagai sumber,periksafakta.afp.com,id,Salah,Wrong
misinformation,"Tenaga kesehatan perlihatkan ""realitas"" pandemi Covid-19 di Brasil",2021-04-22T00:00:00Z,Beberapa sumber,periksafakta.afp.com,id,Menyesatkan,Misleading
other,Pemerintah Indonesia telah mencabut larangan mudik tahun 2021,2021-04-28T00:00:00Z,Berbagai sumber,periksafakta.afp.com,id,Satir,Satire
misinformation,Raja Saudi meresmikan gereja Katolik di Arab Saudi,2021-05-04T00:00:00Z,Berbagai sumber,periksafakta.afp.com,id,Salah,Wrong
misinformation,Tiongkok mentorpedo kapal selam KRI Nanggala 402 yang tenggelam,2021-04-24T00:00:00Z,Berbagai sumber,periksafakta.afp.com,id,Salah,Wrong
misinformation,Video sajadah utuh yang ditemukan dari kapal selam KRI Nanggala 402,2021-04-26T00:00:00Z,Berbagai sumber,periksafakta.afp.com,id,Salah,Wrong
misinformation,Video menunjukkan bangkai kapal selam KRI Nanggala 402 telah diangkat,2021-04-24T00:00:00Z,Berbagai sumber,periksafakta.afp.com,id,Salah,Wrong
misinformation,Zdjęcie palestyńsmiej dziewczynki z ostatniego ostrzału strefy Gazy przez Izrael,2021-05-13T00:00:00Z,,sprawdzam.afp.com,pl,wyrwane z kontekstu,out of context
misinformation,Szczepionka przeciw Covid-19 firmy Pfizer-BioNTech powoduje choroby neurodegeneracyjne,2021-04-28T00:00:00Z,Forum dla życia,sprawdzam.afp.com,pl,Fałsz,Falsehood
misinformation,Zaszczepieni przeciwko Covid-19 stanowią zagrożenie dla niezaszczepionych,2021-05-06T00:00:00Z,Archiwum Tajemnic,sprawdzam.afp.com,pl,Fałsz,Falsehood
misinformation,Wypełnienie spisu powszechnego grozi „interwencją operacyjną”,2021-05-14T00:00:00Z,Justyna Rushyca,sprawdzam.afp.com,pl,Fałsz,Falsehood
misinformation,Zdjęcie mężczyzny o imieniu Marian rzekomo kończącego 114 lat,2021-03-27T00:00:00Z,,sprawdzam.afp.com,pl,fałsz,falsehood
misinformation,"Eksperyment z solą fizjologiczną dowodzi, że testy na Covid-19 są nieprzydatne",2021-04-19T00:00:00Z,Niu Tek,sprawdzam.afp.com,pl,Fałsz,Falsehood
misinformation,"Mega Bomba na Covid! Prêmio Nobel de Medicina, japonês Dr. Satoshi Ômura, sugere colocar na bula da Ivermectina, que evita Covid-19.",2021-04-26T00:00:00Z,Bibo Nunes,projetocomprova.com.br,pt,"ENGANOSO: O político se baseia em um estudo de Satoshi Omura, vencedor do Nobel de medicina, que não comprova a eficácia do medicamento.","Deceitful: The politician is based on a study by Satoshi Omura, winner of the Nobel Prize in medicine, that does not prove the effectiveness of the medicine."
misinformation,"Recuperado, Dr. Roberto Kalil revela que tomou hidroxicloroquina e defende uso em casos graves.",2021-05-08T00:00:00Z,Boatos de redes sociais,projetocomprova.com.br,pt,"Em nenhum momento o médico defendeu o uso indiscriminado de hidroxicloroquina. Hoje, os próprios fabricantes e a OMS não recomendam seu uso para covid.","At no time did the doctor advocate the indiscriminate use of hydroxychloroquine. Today, the manufacturers themselves and the WHO do not recommend its use for covid."
misinformation,TUDO DESCOBERTO! Dória e o filho de Lula são SÓCIOS na VACINA. Inquérito da POLÍCIA FEDERAL n°20221345.,2021-04-13T00:00:00Z,Boatos de redes sociais,projetocomprova.com.br,pt,FALSO: Não constam empresas brasileiras entre as donas de ações da farmacêutica. O número do inquérito indicado na postagem não existe. E os envolvidos negam qualquer sociedade.,FALSE: There are no Brazilian companies among the owners of shares in the pharmaceutical company. The survey number indicated in the post does not exist. And those involved deny any society.
misinformation,Nordeste colhe trigo pela primeira vez. A água vai chegando nas terras secas. E as coisas estão mudando… Adivinhem quem é o culpado?,2021-04-25T00:00:00Z,Boatos de redes sociais,projetocomprova.com.br,pt,FALSO: A Bahia cultiva trigo desde a década de 1980. Informações do Ministério da Agricultura sobre uma colheita de trigo no Ceará foram distorcidas.,FALSE: Bahia has been growing wheat since the 1980s. Information from the Ministry of Agriculture on a wheat harvest in Ceará has been distorted.
factual,"“Fique em casa, a economia vem depois”: Comboio do CEAGESP rumo a Araraquara/SP levando alimentos.",2021-04-29T00:00:00Z,Jair Bolsonaro,projetocomprova.com.br,pt,"COMPROVADO: A ajuda foi enviada pela Ceagesp, cujo dirigente foi nomeado por Bolsonaro. Necessidade da ação foi questionada pelo prefeito do município.","PROVEN: The aid was sent by Ceagesp, whose leader was appointed by Bolsonaro. Need for action was questioned by the mayor of the municipality."
misinformation,"Técnicos da Anvisa liberaram agrotóxicos banidos na Europa mas não a importação da vacina Sputnik V. Não é politização, é coincidência...",2021-04-27T00:00:00Z,Thiago Brasil,projetocomprova.com.br,pt,"ENGANOSO: A Anvisa não autorizou a importação da vacina russa Sputnik V alegando falta de dados consistentes e confiáveis. Uma postagem feita no Twitter atribui a decisão a posicionamento político, comparando-a com a liberação de agrotóxicos. As áreas da Anvisa responsáveis pela análise de vacinas e agrotóxicos, entretanto, não são as mesmas e especialistas defendem critérios técnicos da agência reguladora.","MISTAKE: Anvisa did not authorize the importation of the Russian vaccine Sputnik V, alleging lack of consistent and reliable data. A post made on Twitter attributes the decision to political positioning, comparing it to the release of pesticides. The areas of Anvisa responsible for the analysis of vaccines and pesticides, however, are not the same and experts defend technical criteria of the regulatory agency."
misinformation,"""Não esperem a vacina para acabar com a pandemia. As pessoas terão que conviver com o vírus"". Se a CNN e a OMS disserem, ok. Se Jair Messias Bolsonaro OUSAR, não presta.",2021-04-26T00:00:00Z,Carlos Bolsonaro,projetocomprova.com.br,pt,ENGANOSO: Reportagens com falas antigas de representantes da Organização Mundial da Saúde sobre o enfrentamento à pandemia são retiradas de contexto para reforçar o discurso do presidente Bolsonaro sobre o fim das medidas de distanciamento social.,MISTAKE: Reports with old lines from representatives of the World Health Organization about tackling the pandemic are taken out of context to reinforce President Bolsonaro's speech about the end of social distance measures.
misinformation,"“They didn’t do the human testing [for COVID-19 vaccines] and they stopped the animal tests because the animals were dying, and then they turned it out for the public.”",2021-05-14T00:00:00Z,Bob Hall,factcheck.org,en,False,False
misinformation,"La ""excreción"" de la vacuna contra el COVID-19 causa problemas reproductivos en personas que no han recibido la vacuna.",2021-05-11T00:00:00Z,Social media posts,factcheck.org,es,False,False
misinformation,"“¿Qué curioso, no? Si uno muere dentro de 20 días de haber sido diagnosticado positivo por el Rona (independientemente de otros factores involucrados). Lo contarán como muerte por COVID”.",2021-05-02T00:00:00Z,Social media posts,factcheck.org,es,False,False
misinformation,"""Every single Democratic member of the United States Senate is now on record supporting abolishing the police.""",2021-05-13T00:00:00Z,Ted Cruz,factcheck.org,en,False,False
misinformation,"More than 3,000 people have died after getting COVID-19 vaccines, according to Vaccine Adverse Event Reporting System.",2021-05-05T00:00:00Z,Tucker Carlson,factcheck.org,en,Misleading,Misleading
misinformation,Videos of magnets sticking to arms prove that the COVID-19 vaccines contain microchips.,2021-05-12T00:00:00Z,Social media posts,factcheck.org,en,False,False
misinformation,"""Wake up! Vaccine disaster ahead.""",2021-04-30T00:00:00Z,Social media posts,factcheck.org,en,Distorts the Facts,Distorts the Facts
misinformation,“JAPAN refuses blood donations from any who received shot/s! Wow… What’s that tell you?!”,2021-05-03T00:00:00Z,Facebook posts,factcheck.org,en,Misleading,Misleading
misinformation,"""There were in fact watermarks on the ballots in Arizona.""",2021-04-25T00:00:00Z,Facebook posts,factcheck.org,en,False,False
misinformation,COVID-19 vaccine “shedding” causes reproductive issues in unvaccinated people.,2021-05-11T00:00:00Z,Social media posts,factcheck.org,en,False,False
other,"“PEL News in Mumbai, in the limelight: Traders saying that Rs 1,500-1,800 crore loan default by a builder called Nahar Developers...That is why stock is down 10%.”",,,ha-asia.com,en,Piramal Enterprises strongly confronted this rumour in a press release. The statement said: “Piramal Enterprises Limited categorically refutes baseless rumours regarding loan defaults by real estate developers to its lending arms Piramal Capital & Housing Finance. The developers like Nahar referred to in the rumours are part of Piramal Enterprises lending portfolio “but [they] have never defaulted on any interest or repayment obligation.” The claim is false.,Piramal Enterprises strongly confronted this rumour in a press release. The statement said: “Piramal Enterprises Limited categorically refutes baseless rumours regarding loan defaults by real estate developers to its lending arms Piramal Capital & Housing Finance. The developers like Nahar referred to in the rumours are part of Piramal Enterprises lending portfolio “but [they] have never defaulted on any interest or repayment obligation.” The claim is false.
misinformation,"Claim1: Coronavirus is a simple flu-like common cold. Claim2: Coronavirus is not a pandemic. It is just being made out to be one. Claim3: Masks make you ill, and builds carbon dioxide in your body. Claim4: Alcohol-based hand sanitizers increase alcohol levels in the blood. Claim5: Bill Gates is behind the pandemic. He has sinister plans for the world Claim6: Tuberculosis kills more than COVID-19. Why is this new virus given so much importance?",,,ha-asia.com,en,"Fact1: It is not. Common cold or the seasonal cold is caused by influenza viruses while COVID-19 is caused by novel coronavirus - SARS-CoV-2. Though the symptoms for both can appear to be similar, coronavirus can be more lethal than the seasonal flu. According to Centres for Disease Control and Prevention, “COVID-19 and flu viruses are thought to spread in similar ways, COVID-19 is more contagious among certain populations and age groups than flu. COVID-19 can quickly and easily spread to a lot of people and result in continuous spreading among people as time progresses.” Fact2: WHO defines a pandemic as “an epidemic occurring worldwide, or over a very wide area, crossing international boundaries and usually affecting a large number of people”. Since the coronavirus infection has affected more than 200 countries worldwide, with the number of cases more than 22 crores, and deaths nearly 8 lakhs, the coronavirus is definitely a pandemic. Fact3: This can be true if the masks are not fitting properly or if the masks are not worn properly. Masks with a proper fit ensure proper airflow while offering protection for nose and mouth. We asked our fact check member Dr. Maulik Patel, consultant physician at Divine Life Hospital and Managing Director at Medicaid Healthcare LLP in Kutch, India.  He said “the dose of carbon dioxide we might rebreathe is quickly and easily eliminated by both respiratory and metabolic systems of the body. Carbon Dioxide itself is a respiratory stimulant that blows off carbon dioxide first by increasing breathing rate. Patients with severe fibrotic lung disease or OSA who require oxygen may find some discomfort but the viral transmission is more problematic than the negative effect of wearing masks.“ Fact4: There is no evidence to support this claim. According to WHO, the alcohol found in the blood after the use of alcohol-based sanitizers is of negligible levels.  We also found a study published in the American Journal of Emergency Medicine which said, “the results of this study demonstrate that use of ethanol-based hand sanitizers does not raise serum blood ethanol levels.” The participants applied 5 mL of sanitizers to both hands d 50 times over 4 hours. Fact5: This has been the most enduring fantasy story since the pandemic began. He has been accused of being behind a plan to implant trackable microchips. It is just a rumour without any basis that is going viral on social media. These conspiracy theories have been fact-checked while Bill Gates has, himself denied these claims and has hoped that “they die down”. Fact6: While both tuberculosis (TB) and COVID-19 are lethal and life-threatening, especially for a country like India, the fact is that TB is curable and has medicines, while coronavirus does not have a cure or a vaccine yet. Also, TB is caused by bacteria whereas COVID-19 is caused by a virus. While antibiotic drugs usually kill bacteria, they aren't effective against viruses.","Fact1: It is not. Common cold or the seasonal cold is caused by influenza viruses while COVID-19 is caused by novel coronavirus - SARS-CoV-2. Though the symptoms for both can appear to be similar, coronavirus can be more lethal than the seasonal flu. According to Centres for Disease Control and Prevention, “COVID-19 and flu viruses are thought to spread in similar ways, COVID-19 is more contagious among certain populations and age groups than flu. COVID-19 can quickly and easily spread to a lot of people and result in continuous spreading among people as time progresses.” Fact2: WHO defines a pandemic as “an epidemic occurring worldwide, or over a very wide area, crossing international boundaries and usually affecting a large number of people”. Since the coronavirus infection has affected more than 200 countries worldwide, with the number of cases more than 22 crores, and deaths nearly 8 lakhs, the coronavirus is definitely a pandemic. Fact3: This can be true if the masks are not fitting properly or if the masks are not worn properly. Masks with a proper fit ensure proper airflow while offering protection for nose and mouth. We asked our fact check member Dr. Maulik Patel, consultant physician at Divine Life Hospital and Managing Director at Medicaid Healthcare LLP in Kutch, India.  He said “the dose of carbon dioxide we might rebreathe is quickly and easily eliminated by both respiratory and metabolic systems of the body. Carbon Dioxide itself is a respiratory stimulant that blows off carbon dioxide first by increasing breathing rate. Patients with severe fibrotic lung disease or OSA who require oxygen may find some discomfort but the viral transmission is more problematic than the negative effect of wearing masks.“ Fact4: There is no evidence to support this claim. According to WHO, the alcohol found in the blood after the use of alcohol-based sanitizers is of negligible levels.  We also found a study published in the American Journal of Emergency Medicine which said, “the results of this study demonstrate that use of ethanol-based hand sanitizers does not raise serum blood ethanol levels.” The participants applied 5 mL of sanitizers to both hands d 50 times over 4 hours. Fact5: This has been the most enduring fantasy story since the pandemic began. He has been accused of being behind a plan to implant trackable microchips. It is just a rumour without any basis that is going viral on social media. These conspiracy theories have been fact-checked while Bill Gates has, himself denied these claims and has hoped that “they die down”. Fact6: While both tuberculosis (TB) and COVID-19 are lethal and life-threatening, especially for a country like India, the fact is that TB is curable and has medicines, while coronavirus does not have a cure or a vaccine yet. Also, TB is caused by bacteria whereas COVID-19 is caused by a virus. While antibiotic drugs usually kill bacteria, they aren't effective against viruses."
